id,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID
5801,SBO02**,Oil,Steam Turbine,PP,Bolivia,0.59,0.35,2015,,2035,-14.85886,-66.7599897,,,,,SBO-115_SBO02,San Borja SBO-115 SBO02
5802,YUC01**,Oil,Steam Turbine,PP,Bolivia,0.35,0.35,2015,,2035,-15.1405477,-67.0272019,,,,,YUC-115_YUC01,Yucumo YUC-115 YUC01
5803,SAY01**,Oil,Steam Turbine,PP,Bolivia,0.99,0.35,2015,,2035,-13.7371187,-65.4168628,,,,,MOX-115_SAY01,Santa Ana Yacuma MOX-115 SAY01
5804,SAY02**,Oil,Steam Turbine,PP,Bolivia,0.61,0.35,2015,,2035,-13.7371188,-65.4168629,,,,,MOX-115_SAY02,Santa Ana Yacuma MOX-115 SAY02
5805,SIM01**,Oil,Steam Turbine,PP,Bolivia,0.35,0.35,2015,,2035,-15.0004093,-65.6303847,,,,,MOX-115_SIM01,San Ignacio de Moxos MOX-115 SIM01
5806,SIM02**,Oil,Steam Turbine,PP,Bolivia,0.38,0.35,2015,,2035,-15.0004094,-65.6303848,,,,,MOX-115_SIM02,San Ignacio de Moxos MOX-115 SIM02
5807,SUR11,Natural Gas,Steam Turbine,PP,Bolivia,41.48,0.35,2015,,2035,-21.6940898,-63.5630832,,,,,YAG-230_SUR11,Termo del Sur YAG-230 SUR11
5808,SUR12,Natural Gas,Steam Turbine,PP,Bolivia,40.99,0.35,2015,,2035,-21.6941488,-63.5628052,,,,,YAG-230_SUR12,Termo del Sur YAG-230 SUR12
5809,SUR21,Natural Gas,Steam Turbine,PP,Bolivia,41.8,0.35,2015,,2035,-21.6942258,-63.5624112,,,,,YAG-230_SUR21,Termo del Sur YAG-230 SUR21
5810,SUR22,Natural Gas,Steam Turbine,PP,Bolivia,41.7,0.35,2015,,2035,-21.6942608,-63.5621212,,,,,YAG-230_SUR22,Termo del Sur YAG-230 SUR22
5811,CCSUR30,Natural Gas,CCGT,PP,Bolivia,122.98,0.45,2015,,2035,-21.6944898,-63.5606492,,,,,YAG-230_CCSUR30,Termo del Sur YAG-230 CCSUR30
5812,CCSUR40,Natural Gas,CCGT,PP,Bolivia,125.32,0.45,2015,,2035,-21.6946268,-63.5598932,,,,,YAG-230_CCSUR40,Termo del Sur YAG-230 CCSUR40
5813,WAR21*,Natural Gas,Steam Turbine,PP,Bolivia,43.02,0.35,2015,,2035,-17.5345417,-63.1462922,,,,,WAR-230_WAR21,Warnes WAR-230 WAR21
5814,WAR22*,Natural Gas,Steam Turbine,PP,Bolivia,43.23,0.35,2015,,2035,-17.5344317,-63.1460322,,,,,WAR-230_WAR22,Warnes WAR-230 WAR22
5815,WAR51,Natural Gas,Steam Turbine,PP,Bolivia,42.69,0.35,2015,,2035,-17.5353457,-63.1480462,,,,,WAR-230_WAR51,Warnes WAR-230 WAR51
5816,CCWAR10*,Natural Gas,CCGT,PP,Bolivia,123.6,0.45,2015,,2035,-17.5347157,-63.1467692,,,,,WAR-230_CCWAR10,Warnes WAR-230 CCWAR10
5817,CCWAR30*,Natural Gas,CCGT,PP,Bolivia,130.35,0.45,2015,,2035,-17.5360158,-63.1524497,,,,,WAR-230_CCWAR30,Warnes WAR-230 CCWAR30
5818,CCWAR40*,Natural Gas,CCGT,PP,Bolivia,130.03,0.45,2015,,2035,-17.5356627,-63.1483892,,,,,WAR-230_CCWAR40,Warnes WAR-230 CCWAR40
5819,GBE01*,Bioenergy,Steam Turbine,PP,Bolivia,20.64,0.31,2015,,2035,-17.3158488,-63.2662787,,,,,GBE-013_GBE01,Guabira GBE-013 GBE01
5820,IAG01*,Bioenergy,Steam Turbine,PP,Bolivia,5.0,0.31,2015,,2035,-17.3159808,-63.2660377,,,,,GBE-013_IAG01,IAGSA GBE-013 IAG01
5821,QOL,Wind,Onshore,PP,Bolivia,2.95,,2015,,2035,-17.6287401,-65.2916976,,,,,QOL-115_QOL,Qollpana 1 QOL-115 QOL
5822,QOL2,Wind,Onshore,PP,Bolivia,23.59,,2015,,2035,-17.6318502,-65.2760551,,,,,QOL-115_QOL2,Qollpana 2 QOL-115 QOL2
5823,ORU,Solar,PHOT,PP,Bolivia,49.31,,2015,,2035,-17.7753238,-67.4350937,,,,,ORU-115_ORU,Oruro 1 ORU-115 ORU
5824,UYU,Solar,PHOT,PP,Bolivia,59.7,,2015,,2035,-20.5733559,-66.7699542,,,,,SUY-230_UYU,Uyuni SUY-230 UYU
